 55.565  16.6   -6.7		 	 	
 55.575  -0.1    0.1		 	 	
 56.554  -1.2    0.8		 	 	
 57.555  -5.5    4.3		 	 	
 57.565   0.1   -0.1		 	 	
 58.554  -0.3    0.2		 	 	
 63.655  -0.3    0.7		 	 	
 65.445   0.1   -0.2		 	 	
 65.455  -1.2    3.7		 	 	
 65.465   0.1   -0.2		 	 	
 65.655   0.1   -0.2		 	 	
 73.555   0.0    0.6		 	 	
 75.355   0.0    0.3		 	 	
 75.555   0.6    6.3		 	 	
 75.565   0.2    2.6		 	 	
 75.575   0.0    0.2		 	 	
 83.655   0.1    0.2		 	 	
 85.455   0.4    1.1		 	 	
 85.465   0.2    0.5		 	 	
 93.555   0.1    0.2		 	 	
 95.355   0.1    0.1		 	 	
				
						   
						   
						   
						   
						   
						   
						   
						   
						   
						   
						   
						   
